id,name,Weighted Average Verification Age (Days),Merchants per Capita,Merchants per km²,Score,population,area_km2,total_merchants,weighted_total_merchants,up_to_date_elements,up_to_date_percent,Average Verification Age (Days),id (Latest Report),date,average_verification_date,grade,legacy_elements,outdated_elements,total_elements,total_elements_atms,total_elements_lightning,total_elements_lightning_contactless,total_elements_onchain
24,Angola,365.0,0.0000000314,0.0000007986,0.2777935835117993,31825295,1252254.47,1,0.0,0,0,716,154403,2024-02-08,2023-02-07 00:00:00,,0,1,1,0,0,0,1
626,Tuvalu,0,0.0000000000,0.0000000000,0.2999998178805484,11646,10.27,0,0.0,0,0,None,153643,2024-01-29,,,0,0,0,0,0,0,0
426,Kuwait,0,0.0000000000,0.0000000000,0.2996920056836661,4207083,17368.28,0,0.0,0,0,None,153644,2024-01-29,,,0,0,0,0,0,0,0
374,Gambia,0,0.0000000000,0.0000000000,0.29981669721529836,2347706,10336.73,0,0.0,0,0,None,153645,2024-01-29,,,0,0,0,0,0,0,0
366,Georgia,345.41,0.0000671974,0.0035991622,0.9229190597937635,3720382,69460.61,250,157.5,182,63,334,167412,2025-01-23,2024-02-24 00:00:00,,0,106,288,38,187,0,252
38,Aland,0,0.0000000000,0.0000000000,0.29998649461021026,29884,761.59,0,0.0,0,0,None,153647,2024-01-29,,,0,0,0,0,0,0,0
497,Namibia,262.6,0.0000020044,0.0000060498,0.30119536158184235,2494530,826479.65,5,4.0,4,80,237,164121,2024-10-20,2024-05-31 00:00:00,,0,1,5,0,4,0,5
476,North Macedonia,423.0,0.0000014399,0.0001180131,0.3054935006653839,2083459,25420.91,3,1.5,2,50,481,162615,2024-09-08,2023-09-30 00:00:00,,1,2,4,1,1,0,2
584,Singapore,403.67,0.0000015780,0.0185173755,0.3156843159396624,5703569,486.03,9,3.96,4,44,452,165107,2024-11-15,2023-10-29 00:00:00,,0,5,9,0,4,1,5
524,Peru,275.86,0.0000004614,0.0000115457,0.3221379752229719,32510453,1299185.71,15,11.4,16,76,248,167251,2025-01-18,2024-05-20 00:00:00,,0,5,21,6,14,2,14
433,Lebanon,385.29,0.0000020421,0.0013953618,0.30758928919395173,6855713,10033.24,14,1.9600000000000002,2,14,507,165401,2024-11-23,2023-09-04 00:00:00,,0,12,14,0,10,1,6
245,Ecuador,400.0,0.0000005180,0.0000351234,0.3132889419527543,17373662,256239.78,9,4.5,6,50,435,161843,2024-08-14,2023-11-15 00:00:00,,0,6,12,3,7,2,9
391,Heard Island and McDonald Islands,0,0,0.0000000000,0.29999256076619873,0,419.51,0,0.0,0,0,None,153655,2024-01-29,,,0,0,0,0,0,0,0
557,Republic of Serbia,384.5,0.0000005760,0.0000515042,0.3065485040063973,6944975,77663.62,4,2.0,2,50,404,165454,2024-11-25,2023-12-16 00:00:00,,0,2,4,0,4,0,4
635,Uruguay,415.57,0.0000020221,0.0000393349,0.3046114368397659,3461734,177958.98,7,1.9600000000000002,2,28,542,162360,2024-08-31,2023-07-31 00:00:00,,2,5,7,0,7,0,4
472,Madagascar,365.0,0.0000000371,0.0000016781,0.2894323111660108,26969307,595928.46,1,0.0,0,0,716,154405,2024-02-08,2023-02-07 00:00:00,,0,1,1,0,0,0,1
559,Rwanda,0,0.0000000000,0.0000000000,0.29954882432841223,12626950,25442.5,0,0.0,0,0,None,153659,2024-01-29,,,0,0,0,0,0,0,0
50,Belgium,424.8,0.0000061825,0.0023127571,0.3838645722735676,11484055,30699.29,71,21.3,22,30,558,167390,2025-01-22,2023-07-15 00:00:00,,0,49,71,0,55,6,51
455,Morocco,349.75,0.0000000823,0.0000051397,0.2926214469364484,36471769,583692.11,3,0.75,1,25,304,167280,2025-01-19,2024-03-25 00:00:00,,0,3,4,1,1,0,3
243,Algeria,365.0,0.0000000465,0.0000008591,0.2587180107116774,43053054,2327955.78,2,0.0,0,0,652,159896,2024-06-15,2023-04-12 00:00:00,,0,2,2,0,1,1,2
514,New Zealand,365.9,0.0000085418,0.0001570375,0.37015532976778664,4917000,267452.09,42,18.900000000000002,19,45,367,167395,2025-01-23,2024-01-22 00:00:00,,1,23,42,0,34,8,24
648,Vanuatu,0,0.0000000000,0.0000000000,0.29979930383234776,299882,11317.57,0,0.0,0,0,None,153664,2024-01-29,,,0,0,0,0,0,0,0
384,Guatemala,395.1,0.0000143941,0.0021982374,0.5822092186472465,16604026,108723.47,239,71.7,76,30,464,167419,2025-01-23,2023-10-17 00:00:00,,13,174,250,11,223,2,101
622,Turkey,365.0,0.0000001079,0.0000115155,0.3050434276905527,83429615,781554.63,9,4.7700000000000005,7,53,365,166620,2024-12-31,2024-01-24 00:00:00,,0,6,13,4,6,1,10
424,North Korea,0,0.0000000000,0.0000000000,0.297822938401025,25666161,122767.9,0,0.0,0,0,None,153667,2024-01-29,,,0,0,0,0,0,0,0
393,Croatia,413.44,0.0000027044,0.0002016741,0.3182130266143368,4067500,54543.44,11,4.84,8,44,474,167387,2025-01-22,2023-10-07 00:00:00,,0,10,18,7,6,1,13
427,Cayman Islands,269.0,0.0000769847,0.0165568396,0.311883231722521,64948,301.99,5,3.0,3,60,205,166429,2024-12-24,2024-07-02 00:00:00,,0,2,5,0,5,1,3
420,Comoros,0,0.0000000000,0.0000000000,0.29997181510855203,850886,1589.39,0,0.0,0,0,None,153670,2024-01-29,,,0,0,0,0,0,0,0
403,Iraq,0,0.0000000000,0.0000000000,0.29222514097459773,39309783,438436.43,0,0.0,0,0,None,153671,2024-01-29,,,0,0,0,0,0,0,0
636,Uzbekistan,0,0.0000000000,0.0000000000,0.2920489443951383,33580650,448372.43,0,0.0,0,0,None,153672,2024-01-29,,,0,0,0,0,0,0,0
376,Equatorial Guinea,0,0.0000000000,0.0000000000,0.29952646406744826,1355986,26703.43,0,0.0,0,0,None,153673,2024-01-29,,,0,0,0,0,0,0,0
586,Slovenia,319.88,0.0000301732,0.0031127205,0.39451201328946595,2087946,20239.53,63,23.94,26,38,247,166673,2025-01-02,2024-05-21 00:00:00,,0,42,68,5,38,21,13
405,Iceland,258.0,0.0000110707,0.0000394526,0.31405353182423645,361313,101387.37,4,4.0,4,100,258,166589,2024-12-30,2024-05-10 00:00:00,,0,0,4,0,3,2,2
602,Syria,0,0.0000000000,0.0000000000,0.2966947094623828,17070135,186390.49,0,0.0,0,0,None,153676,2024-01-29,,,0,0,0,0,0,0,0
466,Moldova,0,0.0000000000,0.0000000000,0.299411419369474,2657637,33190.98,0,0.0,0,0,None,153677,2024-01-29,,,0,0,0,0,0,0,0
59,Burundi,83.0,0.0000000867,0.0000366728,0.3034793119444291,11530580,27268.16,1,1.0,1,100,83,164637,2024-11-02,2024-11-01 00:00:00,,0,0,1,0,1,0,0
416,Kyrgyzstan,306.0,0.0000003097,0.0000100455,0.3004322870049648,6456900,199094.65,2,1.0,1,50,247,166744,2025-01-04,2024-05-21 00:00:00,,0,1,2,0,0,0,0
467,Montenegro,421.2,0.0000080368,0.0003650314,0.3037199633819126,622137,13697.45,5,1.0,1,20,646,162759,2024-09-13,2023-04-18 00:00:00,,0,4,5,0,4,3,4
354,Ethiopia,365.0,0.0000000178,0.0000017632,0.27988494434293903,112078730,1134319.37,2,0.0,0,0,685,161066,2024-07-21,2023-03-10 00:00:00,,0,2,2,0,1,1,2
375,Guinea,0,0.0000000000,0.0000000000,0.29564696792277606,12771246,245474.27,0,0.0,0,0,None,153682,2024-01-29,,,0,0,0,0,0,0,0
592,Somalia,0,0.0000000000,0.0000000000,0.2915826455384766,10192317.3,474667.75,0,0.0,0,0,None,153683,2024-01-29,,,0,0,0,0,0,0,0
191,Democratic Republic of the Congo,326.0,0.0000000115,0.0000004274,0.2624699006797105,86790567,2339852.84,1,1.0,1,100,326,155607,2024-03-04,2024-03-03 00:00:00,,0,0,1,0,1,1,1
394,Haiti,0,0.0000000000,0.0000000000,0.29952359573041853,11263077,26865.18,0,0.0,0,0,None,153685,2024-01-29,,,0,0,0,0,0,0,0
179,Bhutan,0,0.0000000000,0.0000000000,0.29929127780949616,763092,39965.95,0,0.0,0,0,None,153686,2024-01-29,,,0,0,0,0,0,0,0
249,Egypt,365.0,0.0000000199,0.0000019884,0.2821634494910879,100388073,1005830.91,2,0.0,0,0,670,158427,2024-05-09,2023-03-25 00:00:00,,0,2,2,0,0,0,2
37,Aruba,409.0,0.0000188122,0.0128526444,0.3039601028633525,106314,155.61,2,1.0,1,50,453,158232,2024-05-04,2023-10-28 00:00:00,,0,1,2,0,1,0,1
659,Zimbabwe,213.0,0.0000001366,0.0000051143,0.30099104807781063,14645468,391057.23,2,2.0,2,100,213,162675,2024-09-10,2024-06-24 00:00:00,,0,0,2,0,1,0,2
31,Austria,388.27,0.0000146445,0.0015458062,0.561246440237557,8877067,84098.51,130,66.3,91,51,410,167429,2025-01-23,2023-12-10 00:00:00,,0,85,176,46,124,24,146
511,Nepal,0,0.0000000000,0.0000000000,0.297383945935555,28608710,147523.37,0,0.0,0,0,None,153691,2024-01-29,,,0,0,0,0,0,0,0
653,Yemen,0,0.0000000000,0.0000000000,0.2919286787031097,29161922,455154.4,0,0.0,0,0,None,153692,2024-01-29,,,0,0,0,0,0,0,0
500,Niger,0,0.0000000000,0.0000000000,0.27893838266056414,23310715,1187697.46,0,0.0,0,0,None,153693,2024-01-29,,,0,0,0,0,0,0,0
486,Northern Mariana Islands,0,0.0000000000,0.0000000000,0.29999300640026094,57216,394.38,0,0.0,0,0,None,153694,2024-01-29,,,0,0,0,0,0,0,0
600,El Salvador,212.64,0.0001637857,0.0517183508,0.9996375766167178,6453553,20437.62,1057,856.1700000000001,871,81,178,167424,2025-01-23,2024-07-29 00:00:00,,1,198,1069,12,960,33,724
507,Netherlands,327.62,0.0000179428,0.0083567331,0.5053003168528691,17332850,37215.5,311,251.91000000000003,286,81,319,167413,2025-01-23,2024-03-10 00:00:00,,2,66,352,41,302,41,195
185,Belize,365.0,0.0000025618,0.0000437991,0.2995951250513461,390353,22831.53,1,0.0,0,0,723,154035,2024-02-01,2023-01-31 00:00:00,,0,1,1,0,0,0,0
542,Palau,0,0.0000000000,0.0000000000,0.29999394607988505,18008,341.39,0,0.0,0,0,None,153698,2024-01-29,,,0,0,0,0,0,0,0
199,Cook Islands,0,0.0000000000,0.0000000000,0.299998922001805,17459,60.79,0,0.0,0,0,None,153699,2024-01-29,,,0,0,0,0,0,0,0
203,China,284.0,0.0000000014,0.0000002129,0.13508195873041975,1397715000,9392196.51,2,2.0,2,100,284,157835,2024-04-24,2024-04-14 00:00:00,,0,0,2,0,0,0,2
168,Bolivia,441.0,0.0000003474,0.0000036606,0.28144040453823327,11513100,1092709.98,4,1.0,1,25,669,160487,2024-07-02,2023-03-26 00:00:00,,0,3,4,0,1,0,0
587,Slovakia,345.51,0.0000232854,0.0026213743,0.35521150682554425,5454073,48447.87,127,68.58,111,54,329,167295,2025-01-20,2024-02-29 00:00:00,,0,94,205,78,189,15,113
173,Brazil,278.77,0.0000066762,0.0001654068,0.8489421011780094,211049527,8518390.58,1409,1028.57,1034,73,247,167421,2025-01-23,2024-05-21 00:00:00,,65,381,1415,6,1315,483,943
473,Marshall Islands,0,0.0000000000,0.0000000000,0.2999957800422691,58791,237.97,0,0.0,0,0,None,153704,2024-01-29,,,0,0,0,0,0,0,0
186,Canada,327.67,0.0000047620,0.0000180914,0.1915456675779264,37589262,9894187.94,179,98.45,185,55,298,167398,2025-01-23,2024-03-31 00:00:00,,0,147,332,153,141,13,285
